d	TYPE	BILLINGSTREET	BILLINGCITY	BILLINGSTATE	BILLINGPOSTALCODE	BILLINGCOUNTRY	SHIPPINGSTREET	SHIPPINGCITY	SHIPPINGSTATE	SHIPPINGPOSTALCODE	SHIPPINGCOUNTRY	PHONE	WEBSITE	INDUSTRY	OWNERSHIP	NUMBEROFEMPLOYEES	RATING	DESCRIPTION						
Test acc 5432	Channel Partner / Reseller	"9 Tagore Lane
Singapore, Singapore 787472
Singapore"	Wals/Salzburg	CN-GD	0	MX	"1301 Avenue of the Americas 
New York, NY 10019
USA"	TLANEPANTLA	CN-ZJ	52176	MX	UAM661220TF7	www.Test acc 5432.com		Media	Subsidiary	45	Hot	Commerical logistics and transportation company.					
Test acc 5433	Installation Partner	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	VINCENNES	CN-GD	0	MX	1301 Hoch Drive	TLALPAN	CN-ZJ	90000	MX	UACE350204HV7	www.Test acc 5433.com		Not For Profit	Other	234	Warm	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.	
Test acc 5434	Technology Partner	The Landmark @ One Market	VILLAHERMOSA	CN-GD	0	MX	2 Place Jussieu	TLALNEPANTLA DE BAZ	CN-ZJ	90930	MX	TYU7712304L6	www.Test acc 5434.com		Recreation	Public	5	Cold	World's third largest oil and gas company.					
Test acc 5435	Other	"1301 Avenue of the Americas 
New York, NY 10019
USA"	Verl	CN-GD	0	MX	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	TLALNEPANTLA	CT	54060	MX	TVE060408JL4	www.Test acc 5435.com		Retail	Private	4634	Warm	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.	
Test acc 5436	Prospect	1301 Hoch Drive	VERACRUZ	CN-GD	0	MX	Test acc 2157	TIJUANA	DA	54440	MX	TUN981229D27	www.Test acc 5436.com		Shipping	Subsidiary	56	Hot	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs					
Test acc 5437	Customer - Direct	2 Place Jussieu	VERACRUZ	CN-GD	0	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	TIJUANA	DE	0	MX	TTR860408K74	www.Test acc 5437.com		Technology	Other	45	Warm	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.		
Test acc 5438	Customer - Channel	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	VERACRUZ	CN-GD	0	MX	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	TIJUANA	DE-NW	54090	MX	TTR1102141G4	www.Test acc 5438.com		Telecommunications	Public	63	Cold	Commerical logistics and transportation company.					
Test acc 5439	Channel Partner / Reseller	"312 Constitution Place
Austin, TX 78767
USA"	VENUSTIANO CARRANZA	CN-GD	0	MX	DHE010828K6A	TIJUANA	DE-NW	54050	MX	TSI070309Q84	www.Test acc 5439.com		Transportation	Private	46	Warm	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.	
Test acc 544	Installation Partner	"345 Shoreline Park
Mountain View, CA 94043
USA"	Vedene	CN-GD	0	MX	CES081007NE0	TIJUANA	DE-NW	22000	MX	TSG0606274N7	www.Test acc 544.com		Utilities	Subsidiary	234	Hot	World's third largest oil and gas company.					
Test acc 5440	Technology Partner	525 S. Lexington Ave	Vadnais Heights	CN-GD	0	MX	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	TIJUANA	DE-RP	22114	MX	TRT130129EX6	www.Test acc 5440.com		Other	Other	52345	Warm	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.	
Test acc 5441	Other	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	Utrecht	CN-GD	0	MX	"1301 Avenue of the Americas 
New York, NY 10019
USA"	TEPOTZOTLAN	ES-A	22123	MX	TRT130128EX6	www.Test acc 5441.com		Agriculture	Public	23	Cold	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs					
Test acc 5442	Prospect	"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States"	Tutlitlan	CN-JS	0	MX	1301 Hoch Drive	TEOLOYUCAN	FL	22210	MX	TRA990129QY1	www.Test acc 5442.com		Apparel	Private	45	Hot	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.		
Test acc 5443	Customer - Direct	"9 Tagore Lane
Singapore, Singapore 787472
Singapore"	TULTITLAN	CN-JS	0	MX	2 Place Jussieu	TEHUACAN	FL	22236	MX	TRA070606RDA	www.Test acc 5443.com		Banking	Subsidiary	23	Warm	Commerical logistics and transportation company.					
Test acc 5444	Customer - Channel	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	TULTITLAN	CN-JS	0	MX	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	TECATE	FR-12	22450	MX	TQA100511KQ8	www.Test acc 5444.com		Biotechnology	Other	452	Cold	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.	
Test acc 5445	Channel Partner / Reseller	The Landmark @ One Market	TULTEPEC	CN-JS	0	MX	Test acc 2157	TECAMACHALCO	FR-13	54506	MX	TPS110222U48	www.Test acc 5445.com		Chemicals	Public	345	Warm	World's third largest oil and gas company.					
Test acc 5446	Installation Partner	"1301 Avenue of the Americas 
New York, NY 10019
USA"	TULARE	CN-JS	0	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	Tavullia	FR-31	54770	MX	TPR920625G68	www.Test acc 5446.com		Communications	Private	2	Hot	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.	
Test acc 5447	Technology Partner	1301 Hoch Drive	TULA DE ALLENDE	CN-SD	0	MX	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	Tangxian Town	FR-33	75730	MX	TPA090106GN7	www.Test acc 5447.com		Construction	Subsidiary	345	Warm	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs					
Test acc 5448	Other	2 Place Jussieu	Tucson	CN-SD	0	MX	DHE010828K6A	TAMPICO	FR-41	21430	MX	TPA060126CP5	www.Test acc 5448.com		Consulting	Other	1	Cold	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.		
Test acc 5449	Prospect	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	Tsuen Wan NT	CN-SD	0	MX	CES081007NE0	Taiwan	FR-53	75480	MX	TOVB8001178J6	www.Test acc 5449.com		Education	Public	235	Warm	Commerical logistics and transportation company.					
Test acc 545	Customer - Direct	"312 Constitution Place
Austin, TX 78767
USA"	Tsuen Wan	CN-SD	0	MX	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	Taipei	FR-59	61010	IT	TOTM691113T34	www.Test acc 545.com		Electronics	Private	23	Hot	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.	
Test acc 5450	Customer - Channel	"345 Shoreline Park
Mountain View, CA 94043
USA"	Tsuen Wan	CN-SD	0	MX	"1301 Avenue of the Americas 
New York, NY 10019
USA"	Taipei	FR-59	321314	CN	TORJ690506GX1	www.Test acc 5450.com		Energy	Subsidiary	45	Warm	World's third largest oil and gas company.					
Test acc 5451	Channel Partner / Reseller	525 S. Lexington Ave	Tsuen Wan	CN-SH	0	MX	1301 Hoch Drive	Taipei	FR-60	89357	MX	TORD640401168	www.Test acc 5451.com		Engineering	Other	23	Cold	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.	
Test acc 5452	Installation Partner	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	Tsimshatsui	 Kowloon	CN-SH	0	MX	2 Place Jussieu	TAICHUNG	FR-62	406	TW	TOMD671031FI8	www.Test acc 5452.com		Entertainment	Public	45	Hot	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs				
Test acc 5453	Technology Partner	"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States"	TROY	CN-SH	0	MX	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	Tacoma	FR-69	106	TW	TOM850506EL9	www.Test acc 5453.com		Environmental	Private	234	Warm	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.		
Test acc 5454	Other	"9 Tagore Lane
Singapore, Singapore 787472
Singapore"	TORRITA DI SIENA	CN-SH	0	MX	Test acc 2157	Sydney	FR-69	11491	TW	TOLR610211KU2	www.Test acc 5454.com		Finance	Subsidiary	52	Cold	Commerical logistics and transportation company.					
Test acc 5455	Prospect	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	TORREON	CN-SH	0	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	Sydney	FR-75	24890	TW	TOGV610525AW4	www.Test acc 5455.com		Food & Beverage	Other	436	Warm	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.	
Test acc 5456	Customer - Direct	The Landmark @ One Market	TORREON	CN-SX	0	MX	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	SYDNEY	FR-84	408	TW	TOGJ601209MY8	www.Test acc 5456.com		Government	Public	3	Hot	World's third largest oil and gas company.					
Test acc 5457	Customer - Channel	"1301 Avenue of the Americas 
New York, NY 10019
USA"	TORREON	CN-XJ	0	MX	DHE010828K6A	Sydney	GA	98401	US	TOGE7811267Y5	www.Test acc 5457.com		Healthcare	Private	456	Warm	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.	
Test acc 5458	Channel Partner / Reseller	1301 Hoch Drive	TOLUCA	CN-ZJ	0	MX	CES081007NE0	Swedsboro	GB-001	2000	AU	TOGC891122BV7	www.Test acc 5458.com		Hospitality	Subsidiary	457	Cold	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs					
Test acc 5459	Installation Partner	2 Place Jussieu	TOLUCA	CN-ZJ	0	MX	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	SUKOHARJO	GB-001	2000	AU	TOEC510524CC0	www.Test acc 5459.com		Insurance	Other	4	Warm	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.		
Test acc 546	Technology Partner	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	TOLUCA	CN-ZJ	0	MX	"1301 Avenue of the Americas 
New York, NY 10019
USA"	Sterling	GB-001	2000	AU	TOD010628PE3	www.Test acc 546.com		Machinery	Public	6	Hot	Commerical logistics and transportation company.					
Test acc 5460	Other	"312 Constitution Place
Austin, TX 78767
USA"	TOLUCA	CN-ZJ	0	MX	1301 Hoch Drive	Steenderen	GB-BDF	2086	AU	TOCJ330624T57	www.Test acc 5460.com		Manufacturing	Private	856	Warm	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.	
Test acc 5461	Prospect	"345 Shoreline Park
Mountain View, CA 94043
USA"	TOLUCA	CN-ZJ	0	MX	2 Place Jussieu	STAMFORD	GB-BGE	0	US	TOCA531105HN1	www.Test acc 5461.com		Media	Subsidiary		Cold	World's third largest oil and gas company.					
Test acc 5462	Customer - Direct	525 S. Lexington Ave	TOLUCA	CN-ZJ	0	MX	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	STAFFORD	GB-BKM	57511	IR	TME1112133W2	www.Test acc 5462.com		Not For Profit	Other	34	Hot	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.	
Test acc 5463	Customer - Channel	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	TLAXCALA	CN-ZJ	0	MX	Test acc 2157	St.Alban	GB-CHS	61081-0577	US	TME090515PC0	www.Test acc 5463.com		Recreation	Public	6	Warm	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs					
Test acc 5464	Channel Partner / Reseller	"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States"	TLAXCALA	CN-ZJ	0	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	ST STEFAN	GB-DER	7221 CD	NL	TMA060626DT8	www.Test acc 5464.com		Retail	Private	34	Cold	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.		
Test acc 5465	Installation Partner	"9 Tagore Lane
Singapore, Singapore 787472
Singapore"	TLANETANTLA DE BAZ	CN-ZJ	0	MX	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	ST LOUIS	GB-DEV	6902	US	TJU040805BT9	www.Test acc 5465.com		Shipping	Subsidiary	57	Warm	Commerical logistics and transportation company.					
Test acc 5466	Technology Partner	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	TLANEPANTLA	CN-ZJ	0	MX	DHE010828K6A	St Cloud	GB-DRY	ST 18 OWP	GB	TIS060314I8A	www.Test acc 5466.com		Technology	Other	675	Hot	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.	
Test acc 5467	Other	The Landmark @ One Market	TLALPAN	CN-ZJ	0	MX	CES081007NE0	Spring Valley	GB-ESS	31140	FR	TIP0908139UA	www.Test acc 5467.com		Telecommunications	Public	8	Warm	World's third largest oil and gas company.					
Test acc 5468	Prospect	"1301 Avenue of the Americas 
New York, NY 10019
USA"	TLALNEPANTLA DE BAZ	CN-ZJ	0	MX	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	Southbank	GB-ESS	8511	AT	TGO040705L65	www.Test acc 5468.com		Transportation	Private	5134	Cold	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.	
Test acc 5469	Customer - Direct	1301 Hoch Drive	TLALNEPANTLA	CN-ZJ	0	MX	"1301 Avenue of the Americas 
New York, NY 10019
USA"	Southall	GB-FIF	63141	US	TGA870401FV4	www.Test acc 5469.com		Utilities	Subsidiary	3	Warm	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs					
Test acc 547	Customer - Channel	2 Place Jussieu	TIJUANA	CN-ZJ	0	MX	1301 Hoch Drive	Smyrna	GB-HAM	56304	US	TFM980418H88	www.Test acc 547.com		Other	Other	412	Hot	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.		
Test acc 5470	Channel Partner / Reseller	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	TIJUANA	CN-ZJ	0	MX	2 Place Jussieu	Sioux City	GB-HRT	10977	US	TER110331SE8	www.Test acc 5470.com		Agriculture	Public	12341	Warm	Commerical logistics and transportation company.					
Test acc 5471	Installation Partner	"312 Constitution Place
Austin, TX 78767
USA"	TIJUANA	CN-ZJ	0	MX	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	Singapore	GB-KEN	3006	AU	TEN090114SG9	www.Test acc 5471.com		Apparel	Private	1234	Cold	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.	
Test acc 5472	Technology Partner	"345 Shoreline Park
Mountain View, CA 94043
USA"	TIJUANA	CN-ZJ	0	MX	Test acc 2157	SHIPMAN	GB-LAN	UB2 5LJ	GB	TEJ010614VA9	www.Test acc 5472.com		Banking	Subsidiary	23412341	Hot	World's third largest oil and gas company.					
Test acc 5473	Other	525 S. Lexington Ave	TIJUANA	CN-ZJ	0	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	Shenzhen	GB-LDS	37167	US	TEG9808173B7	www.Test acc 5473.com		Biotechnology	Other	23412	Warm	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.	
Test acc 5474	Prospect	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	TIJUANA	CT	0	MX	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	Shenzhen	GB-LEC	51101	US	TEC000518CI0	www.Test acc 5474.com		Chemicals	Public	234	Cold	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs					
Test acc 5475	Customer - Direct	"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States"	TEPOTZOTLAN	DA	0	MX	DHE010828K6A	Shenzhen	GB-LND	368819	SG	TDO1212017J1	www.Test acc 5475.com		Communications	Private	12341	Warm	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.		
Test acc 5476	Customer - Channel	"9 Tagore Lane
Singapore, Singapore 787472
Singapore"	TEOLOYUCAN	DE	0	MX	CES081007NE0	Shanghai	GB-LND	62685	US	TDM0204244G6	www.Test acc 5476.com		Construction	Subsidiary	234	Hot	Commerical logistics and transportation company.					
Test acc 5477	Channel Partner / Reseller	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	TEHUACAN	DE-NW	0	MX	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	Shanghai	GB-LND	518042	CN	TCX120920766	www.Test acc 5477.com		Consulting	Other	45	Warm	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.	
Test acc 5478	Installation Partner	The Landmark @ One Market	TECATE	DE-NW	0	MX	"1301 Avenue of the Americas 
New York, NY 10019
USA"	Shanghai	GB-MAN	518053	CN	TCO031212315	www.Test acc 5478.com		Education	Public	23	Cold	World's third largest oil and gas company.					
Test acc 5479	Technology Partner	"1301 Avenue of the Americas 
New York, NY 10019
USA"	TECAMACHALCO	DE-NW	0	MX	1301 Hoch Drive	Shanghai	GB-NLK	518110	CN	TCA0407219T6	www.Test acc 5479.com		Electronics	Private	345	Warm	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.	
Test acc 548	Other	1301 Hoch Drive	Tavullia	DE-RP	0	MX	2 Place Jussieu	Shanghai	GB-NLK	200002	CN	TAV980216DW0	www.Test acc 548.com		Energy	Subsidiary	1234	Hot	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs					
Test acc 5480	Prospect	2 Place Jussieu	Tangxian Town	ES-A	0	MX	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	Scoresby	GB-SCB	200052	CN	TASE820513Q89	www.Test acc 5480.com		Engineering	Other	345	Warm	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.		
